txHash,blockNumber,gasUsed,operatorGas,overhead,operatorCalls
0x3e9b3d3bcd79012b7aa98dad06d38b11cb81207c216fc13858f6a4c1dc3c31a0,22858553,134012,16074,0.11994448258364923,2
0x9b0e18e443221bb109745aa9fc378286999edcdb9520f2194f9762dee7fefeb5,22858591,141675,16074,0.11345685547908947,2
0x42b3ac5aabebdbe8742adf299e1c7fdcadb493b6cde7abe08ad8ad6b002d8091,22858606,144933,16074,0.11090641882801018,2
0x0835ad9a2c35cd4fb24e0e71b682e03f8bdaa7add44b6dbebede725906240d6e,22861811,202293,16074,0.07945900253592561,2
0x16467f03e945cadc33d9f39722422854387dcb106b9791c677feb6aad9284338,22861925,197493,16074,0.08139022648904012,2
0x6c98048bd7151355d10ee0e7b27cac181e68a53024363f1b0269bacdd23283a0,22862209,202305,16074,0.07945428931563728,2
0x4c08819115fa4fda459a0ce5a91787179a3171ef70c6240eab6de58f7b80e528,22862397,134012,16074,0.11994448258364923,2
0xb8e26e8b411f314690818f479a65275adb4cb250881509c6d368633c0da5b6c4,22865367,187993,16074,0.08550318362917768,2
0x7b01ac645ec149de4b381019b1a00469d8a7cd84bb4960bdc1f87fda1ebfb79e,22866673,102313,16074,0.15710613509524693,2
0x9b588de42c7737675f7f31eaa1949e3baf15134547928bb911476e10918b1a03,22867156,122972,16074,0.130712682561884,2
0xf68cc315d87dda6b01a58a78df771b78a624c70c947781add4e54c5dcfa6810a,22868023,163336,16074,0.09841063819366215,2
0xa1d7468c5a63cb01153b7d3ca3427e69ad77ddb399da53a763d2f8b9ebf3529e,22876442,176447,16074,0.09109817678963088,2
0xcfffcf4a026152475734e5ecac8150ed701bc9b76fd6ee0d90cbffbf5c7b8997,22892094,205810,16074,0.07810116126524465,2
0x868e4e5be6b50bc157c31ca551c59373e68b9a64854f412d1e55c58a64d84d0c,22892801,122146,16074,0.1315966138882976,2
0x5c2717a07d494631794d336e7571d816d79ca753ea815911ecaf3deae0c86ba6,22892829,112777,16074,0.14252906177678074,2
0x3d638ff0ee48d1fdc83ec5d9e5c61fbfec5230daed28a77cd58cb8229667ae00,22900386,122972,16074,0.130712682561884,2
0x18d3cfe15f84836a0bb275a9cc7b02021e7dadb57f2ff5dc553714e1df66bd1a,22902538,206875,16074,0.07769909365558912,2
0x07157ee99bf945b74f37c4d50fd164b9fd9fb732bf92906436360b2ea2e3f726,22902843,211675,16074,0.07593716782803826,2
0xd2c9579863e2f8339cbfeb85453e39ff1976a1a709faf8ee157a94f646bbfabb,22903827,206875,16074,0.07769909365558912,2
0x8bb9793620aea446050ee98f9d8b3f0fcfb85caa346a7d9a910eac6d23784638,22906819,143370,16074,0.11211550533584431,2
0x4c6568abdd118b0ea673f490ca94135f2b2e963c27df9963d1ad1be477ffad19,22906861,177697,16074,0.09045735155911468,2
0xe5259279cfa297e02da1c2ea85c915fa6474f1b33b4b07c1ca55110fc67c8309,22907314,138570,16074,0.11599913401169085,2
0xbd711ace11697ec83d81246e22fe04be5b09b360c4cec5ab2c5492d9aa7a9ae8,22908910,152939,16074,0.10510072643341463,2
0xff94358ade18b52e7c7354ae40ac753e2a1316504e5458b0fbd5b027f7f679fe,22913846,147948,16074,0.10864628112580095,2
0x875fdc78deb554bc536d6fb623f875c40107ecfa090938c973fb404fee4956af,22913879,162033,16074,0.09920201440447317,2
0xf40f12640955253b018239888dd4eaffb90e464ea12201a9a6e6d6aec714babf,22914710,141996,16074,0.11320037184146033,2
0x0927892d2293ca03034966a006e1e0faac2104f8c832dc369a41afb6c5c14494,22914722,163324,16074,0.09841786877617496,2
0x5c23b9b22fb5dda75ba2c39a50b3e92da45a9a09d8ba450c92ee6d0c1638b1ad,22915529,130351,16074,0.12331320818405689,2
0x6b2f152a1b2d1df91fc9d7f2d8d7f599291d7db0bda1c4a81801377a29bbbef5,22917171,118396,16074,0.13576472178114127,2
0x1d3a7e341c622312d0d2b3e51690ff21602829f9474ac7c01f78786c5ab798fe,22917865,202272,16074,0.0794672520170859,2
0xfc4d66615ab8a543ed98d44d7ec4923854e7d00ee44344d71a32a393e5c786d7,22919637,138767,16074,0.11583445631886544,2
0x9f01a57e448325452df8e299b22dc6429fb98219fbf105d182f3b625a99f9059,22920052,118408,16074,0.13575096277278562,2
0x1fb3b17e8fcd37183812c54b39a0f1578c5252ab091c36535d7157ea968c25eb,22920448,134000,16074,0.11995522388059701,2
0x47dfd86d730e0f7c526ac81ac730a9d1858bd48c21b7b46671506ca59208e66b,22923411,129212,16074,0.12440021050676407,2
0xbaa2c29822563f5870822220559921ee3c3730c02ecab6f81a00e81a108d4551,22923685,197460,16074,0.08140382862351869,2
0x17dd53da528b48da5aa698ff3171123401244361ef6e0a6cad78b5a15c50b7ad,22928078,121099,16074,0.13273437435486668,2
0x2ee5f4b179b55e5ab9334e9a143f95dfe1f4173e4fc0edae745209a173374451,22928083,126215,16074,0.12735411797329954,2
0xc3bd934a1821ddadecd56313829397520c66f1aa5bc7f903284844bbfba7f5d3,22928322,126107,16074,0.12746318602456644,2
0x7c60ba606c4911f8247aebbd23ef111692175fb1bbee86d4a98e223df9fbbf35,22930830,202293,16074,0.07945900253592561,2
0x3f1a12a8b5f9549a995a160489a2be9d7377232be2213da96a25a842bc16fc8b,22931468,202305,16074,0.07945428931563728,2
0x7f31305ccf41b40c10d7589e56cfe99b01905179defe1a1515c82f7c200920ae,22932537,158751,16074,0.1012529054935087,2
0xddbd23b8bccb99c1eb212bffbd8d811fe62c52b7ccf5f4afe6c6907b20100e64,22932545,159096,16074,0.10103333836174386,2
0x8129586814113e937b7df85f2520a887d2aa2ec0fd880981afbee67bd70985f3,22934157,187993,16074,0.08550318362917768,2
0xb2ce369a378838b39d77429d23168b4dd96a04886fb800dedaba2aa1226fac5d,22934164,182877,16074,0.08789514263685427,2
0xdf89090921786780bbf9bc1c5b86461bfed103c618762ccd850960d7ef77d4ed,22937009,147948,16074,0.10864628112580095,2
0xfa39260448268ac3b5d2e2380656753abfc727ad2c4ae4582bac09aa1f5f3082,22937023,202042,16074,0.07955771572247354,2
0xe126dc26f14fe8c786a7c067bc8c824286b3aa64219af4c8812e6026b02ded1d,22937030,142323,16074,0.11294028372083219,2
0xf176aef6fca07e5b4481c4bdfe8d16570d793d4d55015dc7bcac15215e21dce7,22937055,142832,16074,0.1125378066539711,2
0xb72eac9283388cc494ee5eb6e213ffeb5154b5a820dcd5f940be4e4dbb1ed2df,22943129,142323,16074,0.11294028372083219,2
0xe537bea88557aae43d2d3b87ef316cebf45479dd79c27c2f1968a7a149ab9446,22943179,151950,16074,0.1057847976307996,2
0xb69f43cfca1539b4798c4350965486c1599c33647f2f02652628f6225a664a96,22944420,182906,16074,0.08788120674007413,2
0x693f0beab3df4c397889e553ec329bd2a98f6db8bb7aa23424bea723a34cf672,22944445,138570,16074,0.11599913401169085,2
0x85cb08c0e2f135c7c16ffa9e863dd91ee42d144fd45e8af0ffa4095edd588452,22945446,164959,16074,0.09744239477688395,2
0x7133358b75bd4309b10034c8f230cd714d0f6269becd92339776474ee8a2a7a3,22945773,102313,16074,0.15710613509524693,2
0xf6d801d5650a6f217a340a7cd9a3afb89a02dac2ba2090c09d7d5f776ed893d0,22945784,102646,16074,0.15659645772850378,2
